Afrikaans,South Africa,af_ZA
Amharic,Ethiopia,am_ET
Arabic,Saudi Arabia,ar_SA
Azeri,Azerbaijan,az_AZ
Bengali,Bangladesh,bn_BD
Catalan,Spain,ca_ES
Chinese,China,zh_CN
Chinese,Taiwan,zh_TW
Danish,Denmark,da_DK
German,Germany,de_DE
Greek,Greece,el_GR
English,United States,en_US
Spanish,Spain,es_ES
Farsi,Iran,fa_IR
Finnish,Finland,fi_FI
French,France,fr_FR
Hebrew,Israel,he_IL
Hungarian,Hungary,hu_HU
Armenian,Armenia,hy_AM
Indonesian,Indonesia,id_ID
Icelandic,Iceland,is_IS
Italian,Italy,it_IT
Japanese,Japan,ja_JP
Javanese,Indonesia,jv_ID
Georgian,Georgia,ka_GE
Khmer,Cambodia,km_KH
Korean,Korea,ko_KR
Latvian,Latvia,lv_LV
Mongolian,Mongolia,mn_MN
Malay,Malaysia,ms_MY
Burmese,Myanmar,my_MM
Norwegian,Norway,nb_NO
Dutch,Netherlands,nl_NL
Polish,Poland,pl_PL
Portuguese,Portugal,pt_PT
Romanian,Romania,ro_RO
Russian,Russia,ru_RU
Slovanian,Slovania,sl_SL
Albanian,Albania,sq_AL
Swedish,Sweden,sv_SE
Swahili,Kenya,sw_KE
Hindi,India,hi_IN
Kannada,India,kn_IN
Malayalam,India,ml_IN
Tamil,India,ta_IN
Telugu,India,te_IN
Thai,Thailand,th_TH
Tagalog,Philippines,tl_PH
Turkish,Turkey,tr_TR
Urdu,Pakistan,ur_PK
Vietnamese,Vietnam,vi_VN
Welsh,United Kingdom,cy_GB
